iter	Passed	Remaining
238	512	1630
239	513	1626
240	514	1621
241	516	1616
242	517	1611
243	518	1606
244	519	1601
245	521	1597
246	522	1592
247	523	1587
248	525	1584
249	526	1579
250	527	1575
251	529	1571
252	530	1566
253	531	1562
254	533	1557
255	534	1553
256	535	1548
257	537	1544
258	538	1540
259	539	1536
260	541	1532
261	542	1527
262	543	1523
263	545	1519
264	546	1515
265	547	1511
266	549	1507
267	550	1503
268	551	1499
269	553	1495
270	554	1491
271	555	1487
272	557	1483
273	558	1479
274	559	1475
275	561	1471
276	562	1468
277	563	1464
278	564	1459
279	566	1455
280	567	1451
281	568	1448
282	570	1444
283	571	1440
284	572	1436
285	574	1433
286	575	1429
287	576	1425
288	578	1422
289	579	1418
290	580	1414
291	581	1410
292	583	1407
293	584	1403
294	585	1400
295	587	1396
296	588	1393
297	589	1389
298	591	1385
299	592	1382
300	593	1378
301	595	1375
302	596	1371
303	597	1368
304	599	1365
305	600	1361
306	601	1358
307	603	1355
308	604	1352
309	606	1349
310	607	1345
311	608	1342
312	610	1339
313	611	1336
314	613	1333
315	614	1330
316	616	1327
317	617	1325
318	619	1322
319	620	1319
320	622	1316
321	623	1313
322	625	1310
323	626	1307
324	627	1304
325	629	1301
326	631	1299
327	632	1295
328	634	1293
329	635	1289
330	636	1286
331	638	1283
332	639	1280
333	640	1277
334	642	1274
335	643	1272
336	645	1269
337	646	1266
338	648	1263
339	649	1260
340	650	1257
341	652	1255
342	653	1252
343	655	1249
344	656	1246
345	657	1243
346	659	1241
347	660	1238
348	662	1235
349	663	1232
350	665	1229
351	666	1226
352	667	1224
353	669	1221
354	670	1218
355	672	1215
356	673	1213
357	675	1210
358	676	1207
359	677	1205
360	679	1202
361	680	1199
362	682	1196
363	683	1193
364	684	1190
365	686	1188
366	687	1185
367	688	1183
368	690	1180
369	691	1178
370	693	1175
371	694	1172
372	696	1170
373	697	1167
374	698	1164
375	700	1162
376	701	1159
377	703	1156
378	704	1154
379	706	1151
380	707	1149
381	708	1146
382	710	1144
383	711	1141
384	712	1138
385	714	1136
386	715	1133
387	716	1130
388	718	1128
389	719	1125
390	721	1123
391	722	1120
392	723	1117
393	725	1115
394	726	1112
395	727	1109
396	729	1107
397	730	1104
398	731	1102
399	732	1099
400	734	1096
401	735	1094
402	736	1091
403	738	1088
404	739	1086
405	740	1084
406	742	1081
407	743	1078
408	744	1076
409	746	1073
410	747	1070
411	748	1068
412	750	1066
413	751	1063
414	752	1060
415	753	1058
416	755	1055
417	756	1053
418	757	1050
419	759	1048
420	760	1045
421	762	1043
422	763	1041
423	764	1038
424	766	1036
425	767	1034
426	768	1031
427	770	1029
428	771	1027
429	772	1024
430	774	1022
431	775	1019
432	776	1017
433	778	1015
434	779	1012
435	781	1010
436	782	1007
437	783	1005
438	784	1003
439	786	1000
440	787	998
441	788	996
442	790	993
443	791	991
444	792	988
445	794	986
446	795	984
447	796	981
448	798	979
449	799	977
450	800	974
451	802	972
452	803	970
453	804	967
454	806	965
455	807	963
456	808	960
457	810	958
