iter	RMSE
371	0.1183921053
372	0.1182894367
373	0.1181193229
374	0.1179704873
375	0.1177805469
376	0.1177582408
377	0.1176454191
378	0.1174921922
379	0.1174702738
380	0.1173989985
381	0.1172648369
382	0.1172423311
383	0.1172097528
384	0.1171837337
385	0.1170347865
386	0.1169174925
387	0.116818373
388	0.1166615591
389	0.1165463642
390	0.1165253246
391	0.1163688089
392	0.1162956083
393	0.1161828087
394	0.1161612752
395	0.1160649739
396	0.1159289918
397	0.1158509555
398	0.1157868085
399	0.1156779954
400	0.115611673
401	0.1154534767
402	0.1154083401
403	0.1153750613
404	0.1152519051
405	0.115208727
406	0.1150175122
407	0.114995819
408	0.1148561567
409	0.1148303328
410	0.1147474966
411	0.1146794168
412	0.1145438699
413	0.1144625313
414	0.114441368
415	0.1144127588
416	0.1142931321
417	0.1142724379
418	0.1142321781
419	0.1141610559
420	0.1141046084
421	0.1139720107
422	0.1139477737
423	0.1138685557
424	0.1137847065
425	0.113704973
426	0.1135625706
427	0.1135433307
428	0.1134738991
429	0.1134479162
430	0.1134277469
431	0.1133312376
432	0.1132620432
433	0.1131040507
434	0.1130300524
435	0.1128604098
436	0.1127558407
437	0.1126959583
438	0.1126723066
439	0.112583938
440	0.1125088065
441	0.1124330164
442	0.1123262046
443	0.1122171583
444	0.1121972492
445	0.1120306051
446	0.1120110705
447	0.1119385203
448	0.1118273456
449	0.1118088698
450	0.1117703584
451	0.1117148159
452	0.1116955491
453	0.1116421936
454	0.1115437332
455	0.1115246743
456	0.1114496772
457	0.1113655527
458	0.1113074911
459	0.111195314
460	0.1111764604
461	0.1111578668
462	0.1111244643
463	0.111081469
464	0.110985613
465	0.1109673071
466	0.1109039158
467	0.1108396318
468	0.1108162023
469	0.1107924448
470	0.1107407179
471	0.1105900504
472	0.1105717485
473	0.110553864
474	0.1104988925
475	0.1104751412
476	0.1103339526
477	0.1103118503
478	0.1102942697
479	0.1102768165
480	0.1102602424
481	0.1101545371
482	0.1101118746
483	0.110045859
484	0.110028797
485	0.1099655757
486	0.1098884944
487	0.1097892395
488	0.1097723895
489	0.1097486792
490	0.1096524719
491	0.10960429
492	0.1094972379
493	0.1094805
494	0.1094134813
495	0.1093931671
496	0.1093735431
497	0.1093579708
498	0.1093376765
499	0.1093165948
500	0.1092016128
501	0.1091515025
502	0.1090240303
503	0.1089735327
504	0.1089572781
505	0.1089013154
506	0.108822564
507	0.108755182
508	0.1087066859
509	0.1086248869
510	0.1085584526
511	0.108516997
512	0.1084181683
513	0.1083423688
514	0.1083261657
515	0.1083102808
516	0.1082745471
517	0.1082366347
518	0.1082167196
519	0.1081953533
520	0.1081481084
521	0.1081139972
522	0.1080990561
523	0.1080017759
524	0.1079872508
525	0.1079719187
526	0.1079163339
527	0.107843284
528	0.1078281546
529	0.1078131556
530	0.107793726
531	0.1077411178
532	0.1076436551
533	0.1075830132
534	0.1074369087
535	0.107422815
536	0.1073637542
537	0.1073489147
538	0.1073307566
539	0.1072863977
540	0.1071309473
541	0.1070392697
542	0.1069785159
543	0.1069060952
544	0.1068166013
545	0.1067199374
546	0.1066557917
547	0.106553971
548	0.1065235654
549	0.1065100372
550	0.1064147471
551	0.1062823014
552	0.1062182659
553	0.1061599203
554	0.1060290094
555	0.1060141917
556	0.1059331836
557	0.1059137622
558	0.1058637459
559	0.1058457289
560	0.1058298197
561	0.1057355684
562	0.1057204196
563	0.1057062673
564	0.1056251324
565	0.1055807765
566	0.1055149263
567	0.1054936231
568	0.1054009219
569	0.1053085391
570	0.1052943971
571	0.1052798776
572	0.1052188152
573	0.1052050698
574	0.1050908228
575	0.1050009755
576	0.1049872916
577	0.1049345816
578	0.1048794122
579	0.1048199723
580	0.1047446689
581	0.1046513111
582	0.104566853
583	0.1045347488
584	0.1045188033
585	0.104502181
586	0.1044881906
587	0.1044627539
588	0.1044489931
589	0.1044354119
590	0.1044148182
591	0.1043788889
592	0.1043634342
593	0.1043250504
594	0.1043120158
595	0.1041936721
596	0.1041807393
597	0.1040944986
598	0.1040566671
599	0.104043748
600	0.1040270793
601	0.1039389335
602	0.1039258918
603	0.1038617276
604	0.103776324
605	0.1037133447
606	0.1036606312
607	0.1036121099
608	0.1035949652
609	0.1035542304
610	0.1035412544
611	0.1035295231
612	0.103511965
613	0.1034832805
614	0.1033766051
615	0.1033639013
616	0.1033513146
617	0.103336679
618	0.103325154
619	0.1033137605
620	0.1032741631
621	0.1032598812
622	0.1032487154
623	0.103194289
624	0.1031332396
625	0.1030606358
626	0.1030485187
627	0.1030364935
628	0.1030093398
629	0.1029726051
630	0.1028626656
631	0.1028095735
632	0.1027976798
633	0.1027230521
634	0.1026172698
635	0.1025754204
636	0.1025152546
637	0.1024756423
638	0.1024334526
639	0.1024215323
640	0.1024085645
641	0.1023976534
642	0.1023829282
643	0.1023228594
644	0.1022250026
645	0.1021309937
646	0.1021176902
647	0.1020108995
648	0.1019694943
649	0.1018523476
650	0.1017447168
651	0.1017331131
652	0.1017216068
653	0.1016846113
654	0.1016728302
655	0.1016342739
656	0.1015945771
657	0.101583297
658	0.1015499884
659	0.1014865326
660	0.1014423889
661	0.1014251713
662	0.1014139914
663	0.1013990408
664	0.101378459
665	0.1013133558
666	0.101286593
667	0.1012135292
668	0.1011496214
669	0.1011375551
670	0.1010803502
671	0.1009815547
672	0.100970442
673	0.100947376
674	0.1008649764
675	0.1007668122
676	0.1007567079
677	0.1007426411
678	0.1007178017
679	0.1006623763
680	0.1005745411
681	0.1005345538
682	0.1005236433
683	0.1005107067
684	0.1004628218
685	0.1003700981
686	0.1003450833
687	0.1002668799
688	0.1001935187
689	0.1001826643
690	0.100150052
691	0.1001393762
692	0.1001287941
693	0.100071697
694	0.1000339536
695	0.1000224556
696	0.09999971875
697	0.09995370932
698	0.09994369422
699	0.09991010397
700	0.09989953621
701	0.0998161484
702	0.09971838844
703	0.09968008762
704	0.09966978358
705	0.09962770889
706	0.09961725146
707	0.09960440922
708	0.09956432706
709	0.09953278807
710	0.09944553505
711	0.09943519832
712	0.09942496662
713	0.09941126252
714	0.09932993971
715	0.099272161
716	0.09922582227
717	0.09919693603
718	0.09918501648
719	0.09917622788
720	0.09909529901
721	0.09902334551
722	0.09901343379
723	0.09894862468
724	0.09889943529
725	0.09884979555
726	0.09883979695
727	0.0988290354
728	0.09881915457
729	0.09877606219
730	0.09875627099
731	0.09868018598
732	0.09858998569
733	0.09858032414
734	0.09857059688
735	0.09854038527
736	0.09852808196
737	0.09851866626
738	0.09848605853
739	0.09841810919
740	0.09837291908
741	0.09830909251
742	0.09828411418
743	0.09820990883
744	0.09819952618
745	0.09819058521
746	0.0981810839
747	0.09812476668
748	0.0980401093
749	0.09798009952
750	0.09787520313
751	0.09783067072
752	0.09782111926
753	0.09779759874
754	0.09778854017
755	0.09770751398
756	0.09765036981
757	0.0976410221
758	0.09759529352
759	0.09750801908
760	0.09749585484
761	0.09748670514
762	0.09747840107
763	0.09746834064
764	0.09745915137
765	0.097450338
766	0.09739570174
767	0.09738746704
768	0.0973592174
769	0.09730475477
770	0.09729041463
771	0.09722755858
772	0.09721943321
773	0.09719979425
774	0.09719019441
775	0.09715319376
776	0.09714429572
777	0.09713478438
778	0.09712651516
779	0.09706862667
780	0.09699005011
781	0.09697967691
782	0.09690792207
783	0.09689946926
784	0.09684841949
785	0.09678517881
786	0.09675955524
787	0.09674405153
788	0.09667529278
789	0.09665106765
790	0.09658926168
791	0.0965805577
792	0.0965442154
793	0.09650843641
794	0.09650097896
795	0.09649098404
796	0.09646652524
797	0.0964510213
798	0.09640903671
799	0.0963449826
800	0.09632675155
801	0.09628639667
802	0.09627891619
803	0.09620798893
804	0.09619820721
805	0.09618888173
806	0.09616587303
807	0.09615561508
808	0.09614709621
809	0.09613847915
810	0.09613012827
811	0.09612166351
812	0.09602037133
813	0.09598016433
814	0.09596527306
815	0.09592056148
816	0.09586201203
817	0.09581852964
818	0.09578471372
819	0.09571880483
820	0.09570909486
821	0.09564697112
822	0.09555076729
823	0.09552681962
824	0.0955169556
825	0.09545270338
826	0.09540926913
827	0.09532480463
828	0.09531644785
829	0.09523040532
830	0.09522252449
831	0.09518760276
832	0.09517935105
833	0.09517210347
834	0.09511139721
835	0.09502303736
836	0.09497400754
837	0.094944219
838	0.09493573789
839	0.09486264571
840	0.09485388878
841	0.09484415455
842	0.09479344889
843	0.09474932899
844	0.0947410579
845	0.09469159471
846	0.09464422378
847	0.09461187776
848	0.09455844932
849	0.09451978585
850	0.09451179932
851	0.09450402508
852	0.09449592742
853	0.09445960353
854	0.09445096435
855	0.09441084342
856	0.09440348928
857	0.09439599732
858	0.09433994698
859	0.0943238784
860	0.09430098662
861	0.09423778621
862	0.09422827641
863	0.09422065925
864	0.09421228272
865	0.09416653226
866	0.09410051394
867	0.09405259347
868	0.09404541837
869	0.09400090004
870	0.09395730521
871	0.09393560142
872	0.09387234192
873	0.09385237699
874	0.09384534244
875	0.09379636134
876	0.09375827659
877	0.0936693419
878	0.09362837529
879	0.09361951087
880	0.09361309857
881	0.09356884906
882	0.09353181494
883	0.09347921557
884	0.09347151972
885	0.09342745018
886	0.09339653005
887	0.09331670723
888	0.09324550493
889	0.09323855973
890	0.0932178138
891	0.09314494013
892	0.09313700374
893	0.09313009928
894	0.09309195418
895	0.09304145132
896	0.09302460771
897	0.09301784497
898	0.09298567097
899	0.09297233065
900	0.09296520643
901	0.09293451672
902	0.09292042478
903	0.09291280171
904	0.09285776659
905	0.09283914824
906	0.09281440014
907	0.09280751772
908	0.09278984698
909	0.09278279947
910	0.09277463584
911	0.09273443231
912	0.09268466616
913	0.09260391181
914	0.09254259737
915	0.09253580664
916	0.09251911503
917	0.09247027699
918	0.09245067969
919	0.09238682733
920	0.09236196773
921	0.09235550718
922	0.09233507671
923	0.09229881388
924	0.09227997052
925	0.09220893554
926	0.09220196076
927	0.09216724897
928	0.09214013433
929	0.0920573138
930	0.09205016103
931	0.09203620345
932	0.09202005037
933	0.09199152088
934	0.09198446257
935	0.09192948044
936	0.09192065394
937	0.09191408289
938	0.09187846537
939	0.091871534
940	0.09186515927
941	0.09185662693
942	0.09184029562
943	0.09183391845
944	0.09178638118
945	0.09175928481
946	0.09170674431
947	0.09170009656
948	0.09169340131
949	0.09165639151
950	0.09163872204
951	0.09161245842
952	0.09156660507
953	0.09153968053
954	0.09149536495
955	0.09145955593
956	0.09143226328
957	0.09142550133
958	0.0913792951
959	0.09134836356
960	0.09129528699
961	0.09125509727
962	0.0912484667
963	0.09122309202
964	0.09119046846
965	0.09118409274
966	0.09115304523
967	0.09113031494
968	0.09104205967
969	0.09099846281
970	0.09099229404
971	0.09098543231
972	0.09094630371
973	0.09091661626
974	0.090910155
975	0.09088340995
976	0.09083557267
977	0.0907822261
978	0.0907545102
979	0.09072152228
980	0.09071505537
981	0.09069553259
982	0.09068913276
983	0.09066845435
984	0.09059784302
985	0.09056609097
986	0.09051008739
987	0.09049385882
988	0.09046217589
989	0.09043503721
990	0.09041753049
991	0.09040830424
992	0.09036968666
993	0.09036328872
994	0.09033307509
995	0.09032543971
996	0.0903191197
997	0.09025777381
998	0.09020049948
999	0.09018068866
